TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Design Summary #1,Model,name,Model,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,Model,Test,Test Type,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,Model,value,1-Sided Exact,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_1,name,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_1,Test,Proportion Response under Alternative (π1),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_1,value,0.4,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_3,name,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_3,Test,Proportion Response under Alternative (π1),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_3,value,0.4,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_4,name,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_4,Test,Attained Type 1 Error (α),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_4,value,0.014,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_5,name,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_5,Test,Power,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,row_5,value,0.902,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,Test,name,Test,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,Test,Test,Proportion Response under Null (π0),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #1,Test,value,0.1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Attained Type 1 Error (α),Test,Attained Type 1 Error (α),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Attained Type 1 Error (α),value,0.014,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Design Type,Test,Design Type,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Design Type,value,Minimax,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Power,Test,Power,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Power,value,0.902,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Test Name,Test,Test Name,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Test Name,value,Simon's Two Stage (One Arm Design),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Test Type,Test,Test Type,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Test Type,value,1-Sided Exact,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Type 1 Error (α),Test,Type 1 Error (α),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #2,Type 1 Error (α),value,0.025,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #3,Proportion Response under Alternative (π1),Model,Proportion Response under Alternative (π1),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #3,Proportion Response under Alternative (π1),value,0.4,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #3,Proportion Response under Null (π0),Model,Proportion Response under Null (π0),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Design Summary #3,Proportion Response under Null (π0),value,0.1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,Endpoints,name,Endpoints,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,Endpoints,Parameter,Endpoint Type,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,Endpoints,Value,Binary,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,General,name,General,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,General,Parameter,Priority,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,General,Value,Primary,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,row_1,name,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,row_1,Parameter,Endpoint Name,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,row_1,Value,Endpoint 1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,row_3,name,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,row_3,Parameter,Endpoint Type,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #1,row_3,Value,Binary,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Phase,Parameter,Phase,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Phase,Value,2,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Study Objective,Parameter,Study Objective,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Study Objective,Value,One Arm Exploratory / Confirmatory,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Target Population,Parameter,Target Population,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Target Population,Value,Full Population,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Treatment Arm,Parameter,Treatment Arm,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #2,Treatment Arm,Value,Experimental,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #3,Endpoint Name,Parameter,Endpoint Name,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #3,Endpoint Name,Value,Endpoint 1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #3,Endpoint Type,Parameter,Endpoint Type,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #3,Endpoint Type,Value,Binary,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #3,Priority,Parameter,Priority,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Plan #3,Priority,Value,Primary,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Admissible,Attained Power,0.903,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Admissible,Attained Type 1 Error,0.016,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Admissible,Design Type,Admissible,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Admissible,Probability of Early Stopping,0.736,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Admissible,Total Sample Size (n),22,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Minimax,Attained Power,0.902,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Minimax,Attained Type 1 Error,0.014,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Minimax,Design Type,Minimax,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Minimax,Probability of Early Stopping,0.621,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Minimax,Total Sample Size (n),21,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Optimal,Attained Power,0.907,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Optimal,Attained Type 1 Error,0.022,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Optimal,Design Type,Optimal,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Optimal,Probability of Early Stopping,0.775,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Power and probability,Optimal,Total Sample Size (n),24,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Admissible,Analysis1 (r_1),1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Admissible,Analysis1 Sample Size (n_1),10,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Admissible,Analysis2 (r_2),5,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Admissible,Design Type,Admissible,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Admissible,Expected Sample Size H0 (EN0),13.167,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Admissible,Total Sample Size (n),22,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Minimax,Analysis1 (r_1),1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Minimax,Analysis1 Sample Size (n_1),13,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Minimax,Analysis2 (r_2),5,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Minimax,Design Type,Minimax,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Minimax,Expected Sample Size H0 (EN0),16.029,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Minimax,Total Sample Size (n),21,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Optimal,Analysis1 (r_1),1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Optimal,Analysis1 Sample Size (n_1),9,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Optimal,Analysis2 (r_2),5,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Optimal,Design Type,Optimal,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Optimal,Expected Sample Size H0 (EN0),12.377,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size,Optimal,Total Sample Size (n),24,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size Information,Expected H0 (EN0),Parameter,Expected H0 (EN0),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size Information,Expected H0 (EN0),Value,16.029,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size Information,Maximum,Parameter,Maximum,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size Information,Maximum,Value,21,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size Information,Sample Size (n),Parameter,Sample Size (n),20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Sample Size Information,Sample Size (n),Value,,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,1,Analysis #,1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,1,Futility,0.621,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,1,Futility Number of Responses,1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,1,Sample Size (n),13,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,2,Analysis #,2,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,2,Futility,—,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,2,Futility Number of Responses,5,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Stopping Boundaries,2,Sample Size (n),21,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Admissible,Design Type,Admissible,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Admissible,Lower,0.283,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Admissible,Total Sample Size (n),22,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Admissible,Upper,0.741,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Minimax,Design Type,Minimax,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Minimax,Lower,0.741,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Minimax,Total Sample Size (n),21,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Minimax,Upper,1,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Optimal,Design Type,Optimal,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Optimal,Lower,0,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Optimal,Total Sample Size (n),24,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
Weights,Optimal,Upper,0.283,20260720T181439_5d3e27,2026-07-20T18:14:39.044+05:30,
